semester,cgpa,attendance,average_marks,highest_marks,lowest_marks,target
3,7.91,94.05,70.65,76.69,60.56,Low
6,8.76,91.37,91.44,100.0,88.07,Low
4,7.13,78.4,63.53,74.43,47.21,High
5,9.0,100.0,98.0,100.0,93.34,Low
3,7.52,100.0,84.68,95.06,81.65,Low
5,5.65,86.91,54.28,70.78,47.01,High
2,6.34,87.94,62.24,75.88,56.13,Moderate
1,7.97,64.13,74.14,80.73,64.19,Moderate
7,7.6,89.18,84.41,98.86,72.03,Low
1,6.24,81.04,65.64,74.81,64.78,High
5,7.85,93.15,79.53,86.7,71.28,Low
4,10.0,97.36,89.26,93.72,80.33,Low
2,6.14,83.47,80.48,89.46,68.9,Moderate
7,7.68,75.57,67.69,71.77,58.99,Moderate
4,7.69,78.0,71.26,79.59,63.96,Moderate
6,6.69,69.08,68.75,73.45,57.69,Moderate
3,6.84,85.71,75.97,79.25,75.15,Moderate
4,8.22,100.0,72.12,81.67,61.08,Low
2,9.25,70.37,76.36,85.81,66.46,Moderate
5,6.39,99.03,72.03,80.29,65.09,Low
6,8.43,72.0,76.74,77.45,75.47,Moderate
1,7.45,77.58,79.83,91.95,70.49,Moderate
6,9.23,86.79,88.02,96.12,83.15,Low
8,10.0,100.0,98.0,100.0,90.08,Low
2,6.59,72.86,65.52,76.9,60.31,High
5,10.0,83.23,98.0,100.0,85.9,Low
1,9.09,63.8,90.87,100.0,80.35,Low
7,7.97,97.07,81.6,88.68,71.46,Low
8,9.04,100.0,96.93,97.31,92.19,Low
6,7.5,81.65,76.14,78.33,65.36,Moderate
5,8.42,93.19,84.56,87.75,69.86,Low
7,10.0,85.46,95.96,100.0,77.73,Low
7,6.69,92.71,59.43,64.66,53.21,High
2,6.03,90.97,69.78,76.41,56.05,Moderate
8,8.82,90.41,81.97,88.91,73.48,Low
5,7.52,76.74,72.19,80.97,66.67,Moderate
1,8.4,85.41,85.8,98.0,68.29,Low
7,5.94,84.66,64.02,73.94,54.67,High
4,9.61,100.0,98.0,100.0,89.37,Low
4,7.44,100.0,68.23,79.59,55.56,Moderate
5,9.13,100.0,92.08,98.71,78.77,Low
1,7.76,87.66,77.88,84.98,67.44,Low
7,7.74,76.1,78.32,85.74,63.05,Moderate
8,8.1,98.94,81.47,88.68,66.06,Low
2,8.44,90.29,98.0,100.0,85.0,Low
4,6.65,100.0,73.37,76.57,69.87,Moderate
7,7.6,85.34,76.58,92.12,70.29,Moderate
3,7.9,68.87,76.77,81.36,70.18,Moderate
4,5.64,79.97,63.56,70.37,55.68,High
5,8.97,74.57,87.18,99.78,76.11,Moderate
3,8.43,87.85,67.02,72.79,53.4,Moderate
2,7.0,69.9,73.17,83.34,69.05,Moderate
2,8.44,85.33,79.47,91.09,64.4,Low
2,6.06,81.3,68.34,78.7,57.89,High
1,8.34,84.83,73.75,80.88,62.88,Low
5,9.24,92.06,83.93,95.17,75.37,Low
2,6.04,88.71,78.29,94.67,67.11,Moderate
1,8.35,94.5,85.32,90.73,77.41,Low
5,6.41,92.78,77.55,88.09,69.37,Moderate
4,5.86,68.47,60.69,66.6,53.01,High
7,7.71,83.61,69.62,77.09,61.59,Moderate
3,6.5,100.0,68.62,81.88,62.06,Moderate
2,8.67,93.68,84.36,93.2,72.13,Low
8,5.01,67.4,56.45,64.88,49.49,High
1,6.92,74.3,62.12,69.48,54.91,High
2,7.28,98.67,69.65,81.46,65.33,Moderate
1,8.0,81.76,87.19,89.86,78.43,Low
1,9.58,100.0,98.0,100.0,91.4,Low
4,5.39,85.15,38.56,55.33,25.0,High
1,7.23,84.88,82.43,91.34,70.56,Moderate
6,8.81,92.23,77.25,89.77,67.0,Low
4,8.9,74.89,75.84,84.83,67.49,Low
7,8.21,76.87,80.66,86.09,71.94,Moderate
1,7.32,70.29,80.18,96.99,72.49,Moderate
5,5.55,64.45,64.27,76.52,53.73,High
6,7.74,100.0,80.92,89.83,71.29,Low
4,9.02,69.94,80.7,86.99,75.28,Low
7,9.11,81.01,73.75,81.91,56.62,Low
5,8.98,93.92,86.66,93.79,76.6,Low
7,8.66,78.9,86.56,95.75,76.61,Low
1,8.68,87.2,86.7,97.01,74.05,Low
3,8.49,100.0,89.99,99.93,89.51,Low
6,7.87,88.44,83.18,92.55,76.91,Low
4,6.28,93.7,86.81,94.32,78.89,Moderate
7,8.18,99.91,88.6,89.72,79.59,Low
4,8.82,74.45,65.9,75.59,47.02,Moderate
4,7.86,86.11,77.5,84.48,67.09,Moderate
3,7.43,72.96,76.67,86.58,75.97,Moderate
6,8.18,69.66,79.18,91.75,73.51,Moderate
5,7.17,91.33,65.77,67.7,54.38,Moderate
5,7.18,95.03,82.25,85.33,75.91,Low
1,6.51,67.3,73.66,78.86,64.11,High
1,5.66,72.99,70.67,82.33,64.83,High
6,7.45,100.0,76.53,78.41,68.03,Low
4,7.44,76.85,67.23,72.0,51.24,Moderate
6,7.61,61.51,62.55,70.52,53.55,Moderate
2,8.02,100.0,95.74,100.0,91.12,Low
6,6.59,75.59,65.48,73.75,54.75,High
4,6.7,84.48,68.63,72.01,62.07,Moderate
6,7.75,71.85,60.36,72.22,53.64,Moderate
4,8.65,63.73,86.08,100.0,81.2,Low
7,7.06,71.24,71.75,73.33,69.82,Moderate
1,8.44,80.23,93.66,100.0,87.05,Low
4,9.32,86.35,84.58,99.38,74.11,Low
4,7.71,70.7,81.08,89.88,75.24,Moderate
2,6.57,71.46,66.86,80.04,57.49,High
7,5.66,67.13,59.87,63.61,52.44,High
3,7.43,64.99,78.6,85.28,59.43,Moderate
3,8.82,83.32,72.48,79.03,65.25,Low
4,7.17,94.97,85.38,97.48,73.86,Low
6,10.0,100.0,98.0,100.0,95.0,Low
2,9.0,83.32,86.7,98.58,75.96,Low
2,10.0,100.0,98.0,100.0,84.95,Low
7,8.1,73.74,59.9,70.67,54.6,Moderate
1,9.77,79.06,86.2,95.97,79.1,Low
2,8.46,90.91,92.15,100.0,85.79,Low
1,8.97,86.17,81.03,92.58,71.08,Low
6,10.0,86.39,95.88,100.0,83.54,Low
1,5.92,54.65,52.05,53.16,40.51,High
3,7.78,96.76,87.83,97.76,78.25,Low
2,6.85,61.88,66.83,73.02,59.13,Moderate
8,7.65,90.85,77.95,86.14,61.92,Low
1,6.46,91.96,78.45,86.06,65.15,Moderate
6,6.22,67.97,67.93,73.54,55.61,High
4,7.65,71.01,73.37,85.46,67.25,Moderate
1,5.01,54.62,48.85,66.62,40.36,High
6,7.87,70.31,74.89,81.77,65.05,Moderate
8,6.61,58.61,60.06,69.2,55.01,High
6,9.61,100.0,85.15,89.65,84.04,Low
4,8.35,85.6,80.54,88.93,73.18,Low
7,8.26,87.89,88.31,93.32,79.63,Low
6,6.2,87.27,64.84,76.7,59.31,Moderate
7,6.94,100.0,76.7,87.49,68.56,Moderate
3,6.7,100.0,64.52,73.08,57.93,Moderate
3,7.3,96.16,84.8,96.36,76.87,Low
2,6.38,95.89,51.73,61.51,40.86,High
4,7.07,78.88,80.15,86.7,72.69,Moderate
3,8.99,97.77,87.4,89.97,74.97,Low
2,9.0,100.0,94.9,100.0,91.96,Low
6,6.47,69.6,80.07,84.17,75.7,High
3,9.31,70.56,81.03,93.62,77.33,Low
4,7.18,93.24,83.06,87.71,71.02,Low
7,8.48,71.54,78.93,80.28,74.49,Moderate
6,8.24,82.24,79.87,91.15,70.88,Low
7,7.82,54.92,54.02,68.73,47.06,High
7,7.31,78.13,81.92,88.67,70.93,Moderate
2,5.64,50.0,59.97,65.32,51.43,High
1,7.24,84.94,64.62,77.71,62.07,Moderate
4,6.22,93.53,74.46,82.03,63.62,Moderate
1,8.25,67.17,74.88,86.22,60.29,Moderate
1,7.29,96.39,85.46,98.2,82.27,Low
3,7.94,87.86,85.52,99.26,75.87,Low
2,7.37,80.76,70.13,80.61,60.73,Moderate
2,7.96,58.41,72.48,75.29,58.54,Moderate
3,7.58,91.42,84.74,91.01,84.04,Low
7,8.52,91.37,77.34,85.74,62.86,Low
2,7.17,77.44,76.42,87.89,69.3,Moderate
5,7.8,56.8,65.81,73.5,57.97,High
7,7.21,76.55,63.93,69.48,55.6,Moderate
6,7.58,85.26,72.61,84.04,60.01,Moderate
2,6.76,88.23,78.42,82.65,74.99,Moderate
3,9.01,89.11,86.76,95.68,78.99,Low
5,7.98,96.26,86.18,91.29,82.15,Low
8,8.32,92.37,87.72,92.27,77.95,Low
1,8.85,76.13,98.0,100.0,90.61,Low
3,6.97,98.02,86.9,98.5,77.12,Low
7,4.77,52.43,40.74,50.68,36.23,High
8,8.56,95.31,79.61,85.03,65.64,Low
2,9.11,69.18,91.43,100.0,75.44,Moderate
7,8.08,70.26,68.17,80.67,56.04,Moderate
2,7.9,89.68,74.85,87.49,62.24,Moderate
1,6.72,94.68,75.04,88.56,64.47,Moderate
3,7.21,89.31,76.54,86.66,70.2,Low
3,8.95,100.0,90.49,92.83,80.78,Low
7,8.09,73.0,61.72,66.44,54.86,Moderate
6,7.4,61.99,69.74,80.43,64.42,High
8,7.11,71.5,75.22,85.92,67.5,Moderate
1,7.16,52.96,80.38,81.64,69.42,High
1,8.16,61.83,72.48,82.19,66.1,Moderate
8,7.15,99.69,74.56,79.84,64.64,Moderate
7,8.45,100.0,93.61,100.0,84.88,Low
4,9.11,93.11,81.21,88.03,78.1,Low
8,6.72,85.64,69.26,80.5,62.55,Moderate
4,7.95,79.42,77.04,82.81,69.23,Moderate
5,7.01,74.18,62.0,71.9,49.92,High
6,9.39,91.47,90.5,97.89,88.06,Low
6,6.9,74.01,68.16,76.93,55.93,Moderate
5,7.09,93.65,79.57,93.99,69.26,Low
2,7.07,50.0,74.71,87.38,71.02,High
4,7.54,93.67,82.65,91.78,68.63,Low
7,9.23,84.32,82.45,87.05,76.8,Low
1,9.61,89.48,88.46,92.82,84.07,Low
1,6.65,86.97,66.98,75.99,60.55,Moderate
8,7.4,73.01,69.6,83.38,59.97,Moderate
8,8.65,94.07,86.98,95.18,73.4,Low
8,6.27,59.83,59.33,64.49,51.26,High
2,7.85,95.57,66.01,69.39,56.32,Moderate
1,6.92,82.72,67.87,72.65,63.04,Moderate
6,8.53,100.0,90.86,97.15,75.77,Low
7,6.49,54.41,70.51,78.15,61.45,High
5,6.69,62.04,62.22,68.64,49.78,High
2,6.26,68.34,62.19,67.49,47.73,High
6,8.09,87.91,67.94,73.71,64.39,Moderate
7,10.0,81.46,98.0,100.0,84.99,Low
4,8.14,86.54,83.26,86.72,76.54,Low
5,9.22,94.64,98.0,100.0,86.85,Low
5,10.0,56.29,85.6,90.47,72.61,Low
4,7.55,81.66,84.71,90.18,70.59,Moderate
6,8.67,97.03,90.9,99.56,80.61,Low
5,7.39,73.15,65.33,76.36,55.23,Moderate
4,7.99,83.91,74.5,88.84,62.53,Moderate
6,7.91,97.18,85.16,100.0,72.37,Low
7,8.71,98.1,98.0,100.0,86.63,Low
2,8.75,78.17,92.77,98.71,86.41,Low
3,6.2,51.39,65.77,77.07,56.18,High
2,5.74,87.26,60.45,72.01,50.49,High
4,7.43,98.32,81.6,93.93,79.51,Low
5,9.41,73.21,95.01,99.72,82.34,Low
7,7.03,64.1,71.49,73.78,62.34,High
5,8.85,100.0,98.0,100.0,90.17,Low
3,6.34,98.04,68.72,75.32,60.46,Moderate
6,8.63,88.81,81.48,88.04,70.31,Low
4,6.89,94.49,66.2,73.15,56.83,Moderate
7,7.76,69.35,76.04,84.97,65.85,Moderate
6,9.29,100.0,84.82,91.13,76.88,Low
4,10.0,84.45,86.57,87.88,74.78,Low
4,6.88,74.81,58.55,65.03,45.93,High
1,7.64,74.32,76.78,81.33,72.13,Moderate
4,7.28,90.78,76.76,83.13,72.58,Low
8,6.97,56.36,54.31,70.68,51.67,High
8,8.43,100.0,83.39,94.16,75.08,Low
7,7.91,73.24,65.67,70.89,56.55,Moderate
4,7.41,85.87,64.38,74.93,53.03,Moderate
4,7.56,92.52,76.5,82.79,65.32,Low
6,9.11,87.31,95.94,100.0,83.02,Low
7,7.97,100.0,87.63,99.95,75.18,Low
3,7.98,87.13,75.61,85.26,69.63,Moderate
5,5.7,64.64,54.28,59.65,45.93,High
8,6.98,75.42,83.74,91.46,65.95,Moderate
6,5.65,54.15,53.07,60.28,51.14,High
5,8.9,76.8,85.33,89.63,76.3,Low
3,7.43,72.3,83.72,88.18,72.94,Moderate
3,7.37,100.0,75.17,81.1,69.09,Low
7,8.47,83.04,71.49,78.35,63.01,Low
3,7.69,81.13,76.3,84.21,66.61,Moderate
7,9.26,94.1,88.56,89.04,78.13,Low
2,8.37,98.42,85.75,92.41,77.3,Low
4,6.47,88.99,72.87,79.87,67.22,Moderate
4,8.56,82.79,96.82,100.0,84.51,Low
7,8.77,86.85,81.86,90.58,78.26,Low
6,8.38,100.0,86.31,93.8,73.7,Low
5,7.35,87.94,70.09,79.58,51.78,Moderate
1,5.63,62.55,45.03,50.79,41.74,High
2,4.76,61.85,38.7,40.89,29.2,High
1,8.91,96.77,79.34,81.75,68.54,Low
5,7.23,94.2,87.96,91.37,76.16,Low
8,6.61,70.11,79.1,83.77,72.83,Moderate
7,6.63,59.42,70.76,80.52,59.73,High
4,7.2,87.5,75.49,84.86,63.29,Moderate
1,8.23,100.0,85.28,95.75,80.25,Low
6,6.68,60.46,78.39,87.57,68.86,Moderate
4,10.0,70.55,81.51,91.83,79.13,Low
4,6.62,68.36,63.18,75.86,57.21,High
3,6.65,97.87,67.0,73.7,60.95,Moderate
7,7.0,100.0,85.51,89.79,73.96,Low
2,6.85,88.16,73.15,80.43,60.69,Moderate
2,8.05,86.59,77.17,79.29,71.3,Low
2,8.31,71.02,90.68,100.0,83.14,Low
5,8.28,73.85,77.65,87.57,68.99,Moderate
2,7.39,86.49,76.37,89.93,74.26,Moderate
8,7.09,79.84,72.9,80.34,69.97,Moderate
6,6.61,89.59,79.14,86.32,75.26,Moderate
2,9.64,100.0,87.36,95.57,80.78,Low
2,5.47,86.1,57.03,65.65,46.39,High
6,7.5,68.37,66.86,81.06,53.02,Moderate
5,6.84,100.0,88.82,98.81,83.28,Low
2,6.86,72.05,62.68,69.54,59.78,Moderate
8,6.66,77.92,78.88,84.22,75.87,Moderate
6,6.96,100.0,77.22,87.54,63.9,Low
1,8.91,85.59,91.87,92.14,79.8,Low
3,8.1,100.0,80.55,90.03,73.18,Low
8,9.33,93.31,93.94,99.81,87.73,Low
3,7.53,54.71,67.84,68.66,61.59,High
8,7.97,80.37,78.28,89.85,73.8,Low
6,6.62,100.0,83.57,96.0,76.07,Low
2,5.68,82.37,65.83,78.18,64.91,High
8,8.12,92.75,72.72,78.34,64.55,Moderate
7,5.82,75.16,74.37,79.67,66.62,Moderate
5,7.34,77.29,83.71,87.95,74.99,Low
6,7.95,92.79,85.31,95.76,72.41,Low
2,5.84,98.28,62.96,70.63,52.32,High
5,6.28,76.07,73.72,92.04,65.79,High
6,10.0,87.89,95.7,100.0,84.91,Low
6,7.56,60.45,79.82,95.5,66.53,Moderate
7,8.78,95.01,92.37,95.58,82.57,Low
2,7.11,98.25,88.58,95.91,78.41,Low
5,6.33,88.1,83.02,91.56,72.71,Moderate
1,7.91,99.16,82.87,89.43,73.35,Low
1,7.11,67.37,68.22,74.82,58.5,High
1,4.76,60.27,45.93,47.62,42.93,High
4,10.0,98.06,91.85,100.0,85.76,Low
1,6.06,91.66,64.33,75.02,53.86,Moderate
5,7.48,73.14,60.31,66.31,51.8,Moderate
3,6.44,86.91,68.95,70.87,61.55,Moderate
8,7.91,75.15,78.97,83.11,62.29,Moderate
1,10.0,92.83,84.85,99.94,79.17,Low
5,8.85,100.0,84.43,100.0,68.14,Low
5,8.19,84.24,85.09,91.09,72.89,Low
5,8.5,92.69,96.63,100.0,88.16,Low
4,7.92,83.98,65.59,73.66,56.33,Moderate
7,9.42,81.82,90.35,90.97,82.59,Low
1,6.46,82.44,65.87,68.87,64.95,Moderate
6,8.28,82.95,76.96,83.97,72.14,Low
2,6.72,67.58,91.64,100.0,82.73,Moderate
5,9.88,92.22,85.27,89.39,77.87,Low
3,7.31,61.54,63.97,75.4,63.07,High
5,10.0,88.18,91.25,100.0,80.13,Low
6,7.46,56.09,69.75,70.54,64.09,High
2,9.54,63.67,87.33,92.74,78.14,Low
8,9.67,98.16,90.94,96.57,78.06,Low
2,10.0,96.71,92.14,97.2,83.76,Low
8,6.76,100.0,77.43,90.78,71.24,Low
1,8.41,97.58,88.64,96.81,84.04,Low
3,7.24,80.43,78.1,80.7,68.92,Moderate
8,7.31,67.86,70.19,80.86,51.61,High
4,10.0,92.62,85.45,95.32,73.39,Low
7,8.61,61.89,74.19,83.24,68.11,Moderate
2,7.06,90.72,65.28,74.62,57.04,Moderate
4,7.33,59.46,69.69,70.48,55.37,Moderate
7,8.19,82.57,79.5,80.38,75.6,Moderate
3,6.29,79.42,59.37,60.52,53.96,Moderate
7,6.85,68.02,57.53,64.9,48.18,High
5,6.68,82.56,69.25,79.54,63.67,Moderate
8,9.69,85.62,98.0,100.0,88.74,Low
3,5.4,82.41,73.92,80.34,61.41,Moderate
7,6.68,97.86,82.56,89.4,66.73,Low
8,10.0,92.16,98.0,99.3,89.52,Low
7,7.76,62.18,75.08,80.49,64.94,Moderate
7,7.56,69.41,76.76,88.1,66.64,Moderate
1,6.75,70.59,60.2,65.54,50.71,High
4,7.46,87.33,68.3,77.16,53.59,Moderate
4,6.15,79.61,49.42,60.58,39.2,High
6,7.66,86.06,65.65,70.69,54.45,Moderate
6,8.04,70.77,71.74,78.6,65.24,Moderate
1,8.01,70.66,81.53,90.26,65.88,Moderate
4,9.1,98.92,94.69,100.0,77.63,Low
3,6.72,96.29,66.0,68.57,58.72,Moderate
5,7.88,90.37,87.85,89.25,79.01,Low
1,8.59,77.52,73.53,83.11,62.87,Low
2,10.0,81.14,84.61,95.44,74.61,Low
6,6.56,82.11,63.89,73.27,49.34,High
5,6.21,75.69,65.79,70.09,58.78,High
1,10.0,79.33,93.81,100.0,85.23,Low
2,10.0,92.72,86.16,98.75,82.97,Low
5,7.45,80.86,72.13,80.31,58.46,Moderate
2,8.52,66.93,85.92,88.61,80.3,Low
1,7.37,89.49,76.23,84.01,58.9,Moderate
7,5.89,61.49,50.1,58.85,44.35,High
5,8.67,95.31,70.09,83.86,58.47,Low
8,7.72,77.18,80.57,92.8,71.59,Moderate
3,7.49,79.59,76.74,83.14,62.92,Moderate
8,7.49,98.55,76.12,81.77,65.55,Low
3,10.0,73.24,87.17,95.84,86.17,Low
2,9.56,80.4,86.43,92.29,77.54,Low
4,8.42,90.02,82.29,89.67,74.95,Low
7,9.51,86.08,80.56,91.18,78.91,Low
8,9.12,100.0,98.0,100.0,90.58,Low
2,5.65,99.7,56.01,65.71,54.97,High
2,7.49,93.93,62.82,71.62,50.71,Moderate
3,7.59,65.75,83.54,92.31,72.29,Moderate
4,7.91,74.36,79.67,80.34,69.64,Moderate
4,7.12,93.19,80.91,83.16,72.29,Moderate
1,6.95,69.6,86.95,96.55,79.86,Moderate
1,8.33,77.04,81.73,95.69,72.61,Low
7,5.81,59.83,55.62,65.39,46.25,High
5,7.91,95.13,90.27,100.0,74.85,Low
2,6.74,93.4,60.48,64.46,45.8,High
2,7.54,84.22,74.77,80.07,68.95,Moderate
7,8.34,100.0,75.95,85.43,69.69,Low
4,6.63,75.12,78.7,94.51,68.27,Moderate
6,7.82,89.19,91.3,100.0,83.26,Low
7,7.38,78.46,60.44,62.27,45.99,High
5,9.18,92.81,83.45,84.04,74.91,Low
6,9.06,90.73,74.75,86.59,68.07,Low
7,5.8,96.01,66.86,75.18,53.54,Moderate
7,8.24,90.68,81.07,89.66,74.58,Low
7,6.14,62.35,60.97,69.43,44.31,High
1,6.2,60.77,68.52,79.34,63.09,High
8,8.69,100.0,86.26,97.42,74.66,Low
4,5.89,50.79,65.71,67.98,55.34,High
3,6.13,78.03,65.7,66.56,53.74,High
6,8.49,86.94,74.17,82.97,74.03,Low
5,6.8,80.64,69.61,71.41,64.86,Moderate
8,4.22,50.0,35.71,40.66,29.29,High
6,6.21,66.42,56.23,69.53,43.94,High
5,7.17,78.98,79.59,80.94,70.76,Moderate
5,8.4,89.26,82.95,88.58,74.3,Moderate
7,8.44,100.0,72.92,81.15,65.87,Low
4,8.81,74.44,78.38,85.6,70.32,Low
7,5.87,90.81,54.58,64.32,42.37,High
1,6.45,79.75,77.27,83.81,67.78,Moderate
5,6.96,93.1,65.36,73.36,57.51,Moderate
1,7.59,71.42,72.89,82.9,63.85,Moderate
4,7.85,100.0,82.36,94.36,71.04,Low
3,7.67,81.07,90.36,100.0,86.17,Low
4,9.41,100.0,98.0,100.0,93.78,Low
2,6.77,78.93,55.08,61.12,49.1,High
3,9.65,81.99,84.47,91.4,75.8,Low
3,10.0,80.66,98.0,100.0,93.06,Low
5,6.94,72.08,75.08,84.45,63.38,Moderate
2,6.72,66.61,65.65,73.97,54.6,High
6,6.4,88.57,51.44,61.43,37.66,High
2,9.39,77.56,95.45,100.0,92.43,Low
6,10.0,87.74,87.79,92.42,83.56,Low
3,8.25,56.62,87.6,90.51,80.89,Moderate
8,8.08,85.05,76.42,83.12,69.67,Moderate
7,9.19,73.76,92.51,98.59,84.73,Low
8,7.57,82.89,77.31,87.56,74.86,Low
1,7.12,77.03,72.73,82.9,65.17,Moderate
3,7.22,78.24,67.26,81.03,55.93,Moderate
6,8.75,100.0,86.91,98.65,81.94,Low
4,7.43,93.4,70.86,76.0,67.63,Low
5,5.34,60.34,53.72,71.7,45.34,High
4,9.05,92.53,80.44,95.73,73.98,Low
2,8.94,100.0,91.38,95.53,83.69,Low
2,5.12,67.36,66.52,72.25,60.39,High
5,8.59,93.11,80.25,87.71,75.21,Low
8,8.32,100.0,86.76,97.22,77.56,Low
7,6.24,59.18,58.05,63.51,52.7,High
1,7.18,86.47,90.22,96.4,72.28,Moderate
3,10.0,84.74,94.75,100.0,84.48,Low
4,8.2,88.34,84.11,91.68,75.69,Low
3,6.56,70.9,71.9,79.42,62.24,High
1,8.54,77.84,84.31,96.1,74.59,Low
1,8.96,100.0,91.09,100.0,74.94,Low
7,6.69,87.47,90.97,100.0,80.38,Moderate
3,8.65,92.67,79.97,89.11,66.58,Low
6,6.58,77.98,69.28,76.74,65.99,Moderate
3,7.99,77.05,73.39,87.42,69.87,Moderate
5,7.0,73.44,65.03,75.71,59.75,High
4,7.3,81.0,80.92,92.25,74.33,Moderate
3,8.96,83.47,89.66,100.0,81.02,Low
3,8.88,99.92,84.49,94.85,79.46,Low
6,9.12,100.0,90.63,100.0,86.0,Low
8,7.05,86.19,76.25,76.54,71.67,Moderate
3,7.39,87.27,77.76,89.88,68.91,Moderate
4,8.0,82.64,62.74,66.59,56.98,Moderate
4,8.55,89.21,82.59,87.77,81.79,Low
3,9.34,79.3,88.32,91.88,75.89,Low
4,6.97,64.02,68.63,75.26,59.85,High
3,8.83,78.08,79.79,88.95,69.42,Low
7,6.98,79.56,52.6,55.59,45.69,High
2,7.59,63.33,75.29,86.4,63.37,Moderate
1,6.95,74.4,67.39,76.17,58.42,Moderate
6,9.07,95.64,85.87,96.25,78.76,Low
8,8.38,82.55,81.8,90.42,78.87,Low
4,8.26,67.05,72.7,78.98,69.96,Moderate
6,8.12,52.44,79.04,93.8,73.71,Moderate
3,9.35,100.0,93.25,96.19,91.52,Low
5,8.36,97.22,71.7,82.45,62.78,Low
1,8.36,84.66,82.13,87.74,68.81,Moderate
1,9.62,87.33,79.02,82.79,73.47,Low
4,9.22,77.42,89.25,98.93,79.19,Low
1,7.43,92.15,87.76,100.0,81.05,Low
5,7.72,89.25,75.9,82.44,64.26,Low
8,9.35,89.92,93.31,99.15,78.21,Low
1,9.78,77.07,94.33,99.28,84.05,Low
3,6.71,88.23,78.84,87.1,72.97,Moderate
1,7.48,100.0,66.87,75.78,60.95,Moderate
6,7.14,68.3,74.04,84.87,66.06,Moderate
5,5.44,68.77,75.55,92.88,71.35,High
3,8.33,74.81,87.73,97.97,79.44,Low
3,6.67,90.62,76.16,82.51,60.33,Moderate
7,8.87,100.0,76.93,87.18,64.55,Low
3,7.96,100.0,93.22,94.76,88.44,Low
1,7.41,86.02,78.46,88.19,67.33,Moderate
3,6.88,100.0,63.75,66.17,51.32,Moderate
1,7.53,64.75,40.13,50.99,30.27,High
3,5.56,50.0,69.48,74.95,58.76,High
2,10.0,76.71,89.73,94.8,83.28,Low
2,6.0,53.51,51.97,64.31,34.63,High
6,7.02,68.16,73.28,78.82,62.27,Moderate
8,7.64,90.1,66.35,81.17,55.38,Moderate
3,7.55,61.07,71.05,78.32,59.47,Moderate
4,4.83,50.0,50.08,60.36,44.72,High
5,7.47,50.53,65.42,74.09,55.7,High
8,7.99,86.98,93.8,100.0,81.24,Low
4,7.18,88.0,88.08,100.0,70.85,Low
7,7.05,100.0,85.67,95.86,74.02,Low
2,8.86,80.32,88.21,97.44,79.49,Low
5,7.02,75.22,70.66,80.7,61.0,Moderate
7,8.04,88.65,94.51,100.0,88.11,Low
4,7.47,71.83,71.57,84.55,69.28,Moderate
8,8.11,92.13,78.25,85.94,75.96,Low
8,4.0,59.36,48.5,62.11,37.22,High
1,7.96,87.26,68.03,69.68,67.59,Moderate
1,5.62,99.25,63.41,70.95,56.06,High
1,7.64,72.97,69.69,81.44,58.62,Moderate
8,8.28,84.69,88.27,92.67,80.31,Low
2,8.57,76.7,83.45,95.18,75.81,Low
1,5.85,84.25,39.84,50.24,28.65,High
7,7.83,74.07,78.31,82.05,66.99,Moderate
8,6.85,84.38,74.79,83.7,68.19,Moderate
4,8.53,58.71,84.02,97.12,71.76,Moderate
2,5.95,71.74,85.55,98.74,78.22,Moderate
5,6.75,70.74,64.82,79.53,63.06,High
8,8.18,86.85,83.57,84.83,75.52,Low
5,5.66,80.62,60.59,64.95,46.51,High
6,7.59,81.65,70.3,73.14,59.0,Moderate
1,6.39,81.24,49.43,59.94,39.88,High
8,8.84,85.72,83.48,94.82,75.16,Low
7,7.06,67.02,70.96,77.21,67.25,High
8,5.88,51.74,53.54,56.98,38.27,High
7,8.16,68.38,71.37,78.77,62.03,Moderate
6,4.66,78.92,62.13,66.83,54.6,High
3,6.27,82.47,85.24,95.63,79.97,Moderate
8,9.98,100.0,86.32,96.5,76.9,Low
7,8.24,100.0,85.88,91.38,79.63,Low
6,7.59,76.32,68.12,76.06,62.9,Moderate
3,6.28,71.98,65.5,71.26,57.55,High
4,8.67,65.91,87.51,97.91,71.42,Moderate
5,7.75,77.62,78.02,78.03,71.6,Low
6,7.7,91.39,89.29,95.68,77.09,Low
1,8.01,91.33,75.33,83.47,66.3,Low
1,6.64,80.85,61.95,70.03,49.75,High
8,7.43,85.85,77.41,83.89,62.79,Moderate
1,5.07,57.97,44.85,53.81,33.42,High
5,6.12,86.56,58.66,63.53,43.32,High
1,8.25,72.38,78.89,84.05,68.57,Moderate
7,8.38,95.96,83.69,85.14,70.15,Low
2,9.74,95.42,91.12,94.94,88.14,Low
3,7.2,89.1,77.87,83.17,70.6,Moderate
3,7.41,77.65,71.51,86.88,65.53,Moderate
5,8.37,98.76,72.57,83.2,56.63,Low
4,10.0,100.0,98.0,100.0,82.04,Low
5,8.1,50.0,79.39,86.14,78.22,Moderate
2,8.96,100.0,76.9,84.6,70.71,Low
2,9.05,77.86,87.78,94.32,84.18,Low
4,8.22,94.14,84.14,90.13,66.7,Low
5,9.32,68.5,74.9,82.01,61.17,Moderate
1,7.99,71.28,65.96,74.69,55.81,Moderate
5,6.78,68.74,68.96,71.87,61.75,Moderate
3,9.44,96.06,98.0,100.0,95.0,Low
1,6.39,82.14,71.82,78.59,68.55,Moderate
7,5.21,90.2,65.38,71.65,54.74,High
2,7.22,77.4,70.85,74.63,62.92,Moderate
